Id;Code
95668B5C-92FC-E511-827B-8CDCD42BACB8;EntityType
9A668B5C-92FC-E511-827B-8CDCD42BACB8;OwnershipType
9F668B5C-92FC-E511-827B-8CDCD42BACB8;ActivityStatus
A6668B5C-92FC-E511-827B-8CDCD42BACB8;Division
