Id;Name
D6668B5C-92FC-E511-827B-8CDCD42BACB8;System Administrator
D7668B5C-92FC-E511-827B-8CDCD42BACB8;Residential User
D8668B5C-92FC-E511-827B-8CDCD42BACB8;Commercial User
