PropertyTypeCode;CountryCode;ActivityTypeCode;Order
House;GB;Open Market Letting;1
House;GB;Freehold Sale;2
Flat;GB;Open Market Letting;1
Flat;GB;Freehold Sale;2
Flat;GB;Long Leasehold Sale;3
Bungalow;GB;Open Market Letting;1
Bungalow;GB;Freehold Sale;2
Maisonette;GB;Open Market Letting;1
Maisonette;GB;Freehold Sale;2
Maisonette;GB;Long Leasehold Sale;3
Development Plot;GB;Freehold Sale;1
Development Plot;GB;Long Leasehold Sale;2
Farm/Estate;GB;Freehold Sale;1
Garage Only;GB;Open Market Letting;1
Garage Only;GB;Freehold Sale;2
Parking Space;GB;Open Market Letting;1
Parking Space;GB;Freehold Sale;2
Land;GB;Freehold Sale;1
Land;GB;Long Leasehold Sale;2
Houseboat;GB;Open Market Letting;1
Houseboat;GB;Freehold Sale;2
Leisure;GB;Assignment;1
Leisure;GB;Open Market Letting;2
Leisure;GB;Open Market Sub-Letting;3
Leisure;GB;Pre-Letting;4
Leisure;GB;Leasehold;5
Leisure;GB;Freehold (Vacant Possession);6
Leisure;GB;Freehold Sale;7
Leisure;GB;Feuhold Sale;8
Leisure;GB;Long Leasehold Sale;9
Leisure;GB;Lease Regear;10
Leisure;GB;Lease Renewal;11
Leisure;GB;Rent Review;12
Leisure;GB;By Arrangement;13
Leisure;GB;Long Leasehold (Vacant Possession);14
Leisure;GB;Feuhold (Vacant Possession);15
Leisure;GB;Lease Surrender;16
Retail;GB;Assignment;1
Retail;GB;Open Market Letting;2
Retail;GB;Open Market Sub-Letting;3
Retail;GB;Pre-Letting;4
Retail;GB;Leasehold;5
Retail;GB;Freehold (Vacant Possession);6
Retail;GB;Freehold Sale;7
Retail;GB;Feuhold Sale;8
Retail;GB;Long Leasehold Sale;9
Retail;GB;Lease Regear;10
Retail;GB;Lease Renewal;11
Retail;GB;Rent Review;12
Retail;GB;By Arrangement;13
Retail;GB;Long Leasehold (Vacant Possession);14
Retail;GB;Feuhold (Vacant Possession);15
Retail;GB;Lease Surrender;16
Industrial;GB;Assignment;1
Industrial;GB;Open Market Letting;2
Industrial;GB;Open Market Sub-Letting;3
Industrial;GB;Pre-Letting;4
Industrial;GB;Leasehold;5
Industrial;GB;Freehold (Vacant Possession);6
Industrial;GB;Freehold Sale;7
Industrial;GB;Feuhold Sale;8
Industrial;GB;Long Leasehold Sale;9
Industrial;GB;Lease Regear;10
Industrial;GB;Lease Renewal;11
Industrial;GB;Rent Review;12
Industrial;GB;By Arrangement;13
Industrial;GB;Long Leasehold (Vacant Possession);14
Industrial;GB;Feuhold (Vacant Possession);15
Industrial;GB;Lease Surrender;16
Other;GB;Assignment;1
Other;GB;Open Market Letting;2
Other;GB;Open Market Sub-Letting;3
Other;GB;Pre-Letting;4
Other;GB;Leasehold;5
Other;GB;Freehold (Vacant Possession);6
Other;GB;Freehold Sale;7
Other;GB;Feuhold Sale;8
Other;GB;Long Leasehold Sale;9
Other;GB;Lease Regear;10
Other;GB;Lease Renewal;11
Other;GB;Rent Review;12
Other;GB;By Arrangement;13
Other;GB;Long Leasehold (Vacant Possession);14
Other;GB;Feuhold (Vacant Possession);15
Other;GB;Lease Surrender;16
Office;GB;Assignment;1
Office;GB;Open Market Letting;2
Office;GB;Open Market Sub-Letting;3
Office;GB;Pre-Letting;4
Office;GB;Leasehold;5
Office;GB;Freehold (Vacant Possession);6
Office;GB;Freehold Sale;7
Office;GB;Feuhold Sale;8
Office;GB;Long Leasehold Sale;9
Office;GB;Lease Regear;10
Office;GB;Lease Renewal;11
Office;GB;Rent Review;12
Office;GB;By Arrangement;13
Office;GB;Long Leasehold (Vacant Possession);14
Office;GB;Feuhold (Vacant Possession);15
Office;GB;Lease Surrender;16
Office.Office;GB;Assignment;1
Office.Office;GB;Open Market Letting;2
Office.Office;GB;Open Market Sub-Letting;3
Office.Office;GB;Pre-Letting;4
Office.Office;GB;Leasehold;5
Office.Office;GB;Freehold (Vacant Possession);6
Office.Office;GB;Freehold Sale;7
Office.Office;GB;Feuhold Sale;8
Office.Office;GB;Long Leasehold Sale;9
Office.Office;GB;Lease Regear;10
Office.Office;GB;Lease Renewal;11
Office.Office;GB;Rent Review;12
Office.Office;GB;By Arrangement;13
Office.Office;GB;Long Leasehold (Vacant Possession);14
Office.Office;GB;Feuhold (Vacant Possession);15
Office.Office;GB;Lease Surrender;16
Office.Office (Bus. Park);GB;Assignment;1
Office.Office (Bus. Park);GB;Open Market Letting;2
Office.Office (Bus. Park);GB;Open Market Sub-Letting;3
Office.Office (Bus. Park);GB;Pre-Letting;4
Office.Office (Bus. Park);GB;Leasehold;5
Office.Office (Bus. Park);GB;Freehold (Vacant Possession);6
Office.Office (Bus. Park);GB;Freehold Sale;7
Office.Office (Bus. Park);GB;Feuhold Sale;8
Office.Office (Bus. Park);GB;Long Leasehold Sale;9
Office.Office (Bus. Park);GB;Lease Regear;10
Office.Office (Bus. Park);GB;Lease Renewal;11
Office.Office (Bus. Park);GB;Rent Review;12
Office.Office (Bus. Park);GB;By Arrangement;13
Office.Office (Bus. Park);GB;Long Leasehold (Vacant Possession);14
Office.Office (Bus. Park);GB;Feuhold (Vacant Possession);15
Office.Office (Bus. Park);GB;Lease Surrender;16
Office.Office (Portfolio);GB;Assignment;1
Office.Office (Portfolio);GB;Open Market Letting;2
Office.Office (Portfolio);GB;Open Market Sub-Letting;3
Office.Office (Portfolio);GB;Pre-Letting;4
Office.Office (Portfolio);GB;Leasehold;5
Office.Office (Portfolio);GB;Freehold (Vacant Possession);6
Office.Office (Portfolio);GB;Freehold Sale;7
Office.Office (Portfolio);GB;Feuhold Sale;8
Office.Office (Portfolio);GB;Long Leasehold Sale;9
Office.Office (Portfolio);GB;Lease Regear;10
Office.Office (Portfolio);GB;Lease Renewal;11
Office.Office (Portfolio);GB;Rent Review;12
Office.Office (Portfolio);GB;By Arrangement;13
Office.Office (Portfolio);GB;Long Leasehold (Vacant Possession);14
Office.Office (Portfolio);GB;Feuhold (Vacant Possession);15
Office.Office (Portfolio);GB;Lease Surrender;16
Leisure.Hotel;GB;Assignment;1
Leisure.Hotel;GB;Open Market Letting;2
Leisure.Hotel;GB;Open Market Sub-Letting;3
Leisure.Hotel;GB;Pre-Letting;4
Leisure.Hotel;GB;Leasehold;5
Leisure.Hotel;GB;Freehold (Vacant Possession);6
Leisure.Hotel;GB;Freehold Sale;7
Leisure.Hotel;GB;Feuhold Sale;8
Leisure.Hotel;GB;Long Leasehold Sale;9
Leisure.Hotel;GB;Lease Regear;10
Leisure.Hotel;GB;Lease Renewal;11
Leisure.Hotel;GB;Rent Review;12
Leisure.Hotel;GB;By Arrangement;13
Leisure.Hotel;GB;Long Leasehold (Vacant Possession);14
Leisure.Hotel;GB;Feuhold (Vacant Possession);15
Leisure.Hotel;GB;Lease Surrender;16
Leisure.Leisure;GB;Assignment;1
Leisure.Leisure;GB;Open Market Letting;2
Leisure.Leisure;GB;Open Market Sub-Letting;3
Leisure.Leisure;GB;Pre-Letting;4
Leisure.Leisure;GB;Leasehold;5
Leisure.Leisure;GB;Freehold (Vacant Possession);6
Leisure.Leisure;GB;Freehold Sale;7
Leisure.Leisure;GB;Feuhold Sale;8
Leisure.Leisure;GB;Long Leasehold Sale;9
Leisure.Leisure;GB;Lease Regear;10
Leisure.Leisure;GB;Lease Renewal;11
Leisure.Leisure;GB;Rent Review;12
Leisure.Leisure;GB;By Arrangement;13
Leisure.Leisure;GB;Long Leasehold (Vacant Possession);14
