Code;LocaleCode;Value
Style;en;Style
Situation;en;Situation
Location;en;Location
Special;en;Special
Purpose;en;Purpose
Age;en;Age
Decoration;en;Decoration
Planning;en;Planning
Category;en;Category
Specification;en;Specification
